SalesDate,Region,Cust_Type,Customer,Buz_Segt,Category,Model,Model_Color,ListPrice,OrderQty,Gross Sales Amt,Disc %
01-Jan-18,Canada,Platinum,Superb Sales and Repair,Components,Handlebars,HL Road Handlebars,,120,1,120,8%
01-Jan-18,United States,Silver,Field Trip Store,Clothing,Tights,Women's Tights,Black,75,3,225,5%
01-Jan-18,United States,Silver,Mail-Order Outlet,Components,Road Frames,ML Road Frame-W,Yellow,595,8,4760,5%
01-Jan-18,United States,Silver,Resale Services,Clothing,Tights,Women's Tights,Black,75,5,375,5%
01-Jan-18,United States,Gold,Closeout Boutique,Bikes,Mountain Bikes,Mountain-300,Black,1080,5,5400,12%
01-Jan-18,United States,Silver,Number 1 Supply,Bikes,Road Bikes,Road-650,Red,783,2,1566,5%
01-Jan-18,United States,Silver,Many Bikes Store,Components,Mountain Frames,ML Mountain Frame-W,Black,349,2,698,5%
02-Jan-18,United Kingdom,Silver,Prosperous Tours,Bikes,Road Bikes,Road-250,Black,2443,4,9772,10%
02-Jan-18,United States,Gold,Retail Sales and Service,Components,Road Frames,ML Road Frame-W,Yellow,595,4,2380,12%
02-Jan-18,United States,Silver,Totes & Baskets Company,Clothing,Tights,Women's Tights,Black,75,1,75,5%
02-Jan-18,Canada,Silver,Finer Riding Supplies,Components,Road Frames,ML Road Frame-W,Yellow,595,6,3570,0%
02-Jan-18,Canada,Gold,Bikes and Motorbikes,Components,Wheels,LL Road Rear Wheel,Black,113,3,339,2%
02-Jan-18,United States,Silver,Preferred Bikes,Components,Road Frames,ML Road Frame-W,Yellow,595,2,1190,5%
02-Jan-18,United States,Silver,Lease-a-Bike Shop,Components,Road Frames,LL Road Frame,Black,337,3,1011,5%
02-Jan-18,United States,Gold,Fashionable Bikes and Accessories,Components,Mountain Frames,HL Mountain Frame,Silver,1365,1,1365,12%
03-Jan-18,United States,Platinum,Rally Day Mall,Clothing,Caps,Cycling Cap,Multi,9,6,54,15%
03-Jan-18,United Kingdom,Silver,Uttermost Bike Shop,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,2,100,10%
03-Jan-18,United States,Gold,eCommerce Bikes,Clothing,Shorts,Men's Sports Shorts,Black,60,8,480,12%
03-Jan-18,United States,Gold,Front Sporting Goods,Components,Forks,LL Fork,,148,2,296,12%
03-Jan-18,United States,Silver,Excellent Riding Supplies,Components,Wheels,LL Road Rear Wheel,Black,113,3,339,5%
03-Jan-18,Canada,Silver,Valley Toy Store,Accessories,Helmets,Sport-100,Red,35,2,70,0%
04-Jan-18,Canada,Gold,Leather Seat Factory,Components,Wheels,LL Mountain Front Wheel,Black,61,3,183,2%
